Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
15,Teddy Lu_i_,D,6'02,187.96,12 04,15/04/1973,21,BiskopsgŒrden,V_stra Fr_lunda,Sweden,B
16,Anders Limpar,M,5'09,175.26,11 00,24/09/1965,28,Solna,Everton,Sweden,B
17,Stefan Rehn,M,5'10,177.8,11 11,22/09/1966,27,Stockholm,IFK G_teborg,Sweden,B
18,HŒkan Mild,M,6'00,182.88,12 04,14/06/1971,23,Trollh_ttan,Servette,Sweden,B
19,Kennet Andersson,F,6'04,193.04,14 07,06/10/1967,26,Eskilstuna,Lille,Sweden,B
20,Magnus Erlingmark,F,6'02,187.96,12 11,08/07/1968,25,J_nk_ping,IFK G_teborg,Sweden,B
21,Jesper Blomqvist,M,5'09,175.26,11 07,05/02/1974,20,Tavelsj_,IFK G_teborg,Sweden,B
22,Magnus Hedman,G,6'04,193.04,14 07,19/03/1973,21,Huddinge,AIK,Sweden,B
1,Carlos Trucco,G,,,,11/08/1957,36,Balnearia,Bolivar,Bolivia,C
2,Juan Manuel Pe–a,D,6'00,182.88,11 09,17/01/1973,21,Santa Cruz,Independiente Santa Fe,Bolivia,C
3,Marco Sandy,D,5'11,180.34,12 06,29/08/1971,22,Cochabamba,Bolivar,Bolivia,C
4,Miguel Rimba,D,5'10,177.8,10 12,01/11/1967,26,Riberalta,Bolivar,Bolivia,C
5,Gustavo Quinteros,D,5'11,180.34,12 04,15/02/1965,29,Santa Fe,The Strongest,Bolivia,C
6,Carlos Borja,M,5'06,167.64,10 10,25/12/1957,36,Cochabamba,Bolivar,Bolivia,C
7,Mario Pinedo,M,5'10,177.8,12 00,09/04/1964,30,,Oriente Petrolero,Bolivia,C
8,Jos_ Melgar,M,5'09,175.26,12 00,20/09/1959,34,Santa Cruz,The Strongest,Bolivia,C
9,çlvaro Pe–a,F,5'10,177.8,11 09,11/02/1965,29,Santa Cruz,Temuco,Bolivia,C
10,Marco Etcheverry,M,5'10,177.8,12 08,26/09/1970,23,Santa Cruz,Colo Colo,Bolivia,C
11,Jaime Moreno,F,5'10,177.8,11 09,19/01/1974,20,Santa Cruz,Blooming,Bolivia,C
12,Dar’o Rojas,G,5'10,177.8,12 06,20/01/1960,34,,Oriente Petrolero,Bolivia,C
13,Modesto Soruco,D,,,,12/02/1966,28,,Once Caldas,Bolivia,C
14,Mauricio Ramos,M,5'07,170.18,11 00,23/09/1966,27,Santa Cruz,Destroyers,Bolivia,C
15,Vladimir Soria,M,5'06,167.64,10 10,15/07/1964,29,,Bolivar,Bolivia,C
16,Luis Cristaldo,M,5'09,175.26,10 10,31/08/1969,24,Formosa,Bolivar,Bolivia,C
17,îscar S‡nchez,D,5'10,177.8,12 04,16/07/1971,22,Cochabamba,Atl_tico Nacional,Bolivia,C
18,Luis Ramallo,F,5'09,175.26,11 09,04/07/1963,30,Cochabamba,Oriente Petrolero,Bolivia,C
19,Marcelo Torrico,G,5'10,177.8,12 02,11/01/1972,22,,The Strongest,Bolivia,C
20,Ramiro Castillo,M,5'05,165.1,10 03,27/03/1966,28,Coripata,Platense,Bolivia,C
21,Erwin S‡nchez,M,5'08,172.72,11 05,19/10/1969,24,Santa Cruz,Boavista,Bolivia,C
22,Julio C_sar Baldivieso,M,5'11,180.34,12 00,02/12/1971,22,Cochabamba,Bolivar,Bolivia,C
1,Bodo Illgner,G,6'03,190.5,14 02,07/04/1967,27,Koblenz,K_ln,Germany,C
2,Thomas Strunz,M,6'00,182.88,11 11,25/04/1968,26,Duisburg,Stuttgart,Germany,C
3,Andreas Brehme,D,5'09,175.26,12 02,09/11/1960,33,Hamburg,Kaiserslautern,Germany,C
4,JŸrgen Kohler,D,6'01,185.42,13 03,06/10/1965,28,Lambsheim,Juventus,Germany,C
5,Thomas Helmer,D,6'01,185.42,12 00,21/04/1965,29,Herford,Bayern Munich,Germany,C
6,Guido Buchwald,D,6'02,187.96,14 02,24/01/1961,33,Berlin,Stuttgart,Germany,C
7,Andreas M_ller,M,5'11,180.34,12 00,02/09/1967,26,Frankfurt,Juventus,Germany,C
8,Thomas H_§ler,M,5'05,165.1,10 08,30/05/1966,28,Berlin,Roma,Germany,C
9,Karlheinz Riedle,F,5'10,177.8,11 11,16/09/1965,28,Weiler im Allg_u,Borussia Dortmund,Germany,C
10,Lothar Matth_us,D,5'09,175.26,11 03,21/03/1961,33,Erlangen,Bayern Munich,Germany,C
11,Stefan Kuntz,F,5'11,180.34,13 03,30/10/1962,31,Neunkirchen,Kaiserslautern,Germany,C
12,Andreas K_pke,G,6'00,182.88,12 13,12/03/1962,32,Kiel,NŸrnberg,Germany,C
13,Rudi V_ller,F,5'11,180.34,12 02,13/04/1960,34,Hanau,Marseille,Germany,C
14,Thomas Berthold,D,6'01,185.42,12 11,12/11/1964,29,Hanau,Stuttgart,Germany,C
15,Maurizio Gaudino,M,6'00,182.88,12 08,12/12/1966,27,BrŸhl,Eintracht Frankfurt,Germany,C
16,Matthias Sammer,M,5'11,180.34,11 11,05/09/1967,26,Dresden,Borussia Dortmund,Germany,C
17,Martin Wagner,M,5'09,175.26,11 00,24/02/1968,26,Offenburg,Kaiserslautern,Germany,C
18,JŸrgen Klinsmann,F,5'11,180.34,12 00,30/07/1964,29,G_ppingen,Monaco,Germany,C
19,Ulf Kirsten,F,5'09,175.26,12 00,04/12/1965,28,Riesa,Bayer Leverkusen,Germany,C
20,Stefan Effenberg,M,6'02,187.96,13 12,02/08/1968,25,Hamburg,Fiorentina,Germany,C
21,Mario Basler,M,6'01,185.42,11 07,18/12/1968,25,Neustadt / Weinstra§e,Werder Bremen,Germany,C
22,Oliver Kahn,G,6'02,187.96,14 02,15/06/1969,25,Karlsruhe,Karlsruhe,Germany,C
1,Choi In-Young,G,5'11,180.34,12 04,05/03/1962,32,,Hyundai Horang-i,South Korea,C
2,Chung Jong-Son,D,5'09,175.26,10 08,27/03/1961,33,,Hyundai Horang-i,South Korea,C
3,Lee Jong-Hwa,D,5'08,172.72,10 06,20/07/1963,30,,Ilhwa Chunma,South Korea,C
4,Kim Pan-Keun,D,5'05,165.1,10 08,05/03/1966,28,,Lucky Goldstar,South Korea,C
5,Park Jung-Bae,D,5'10,177.8,12 04,19/02/1967,27,,Daewoo Royals,South Korea,C
6,Lee Young-Jin,M,5'06,167.64,09 06,27/10/1963,30,,Lucky Goldstar,South Korea,C
7,Shin Hong-Gi,D,5'05,165.1,10 08,04/05/1968,26,,Hyundai Horang-i,South Korea,C
8,Noh Jung-Yoon,M,5'08,172.72,10 06,28/03/1971,23,Incheon,Sanfrecce Hiroshima,South Korea,C
9,Kim Joo-Sung,F,5'10,177.8,11 05,17/01/1966,28,Yangyang,Bochum,South Korea,C
10,Ko Jeong-Woon,M,5'08,172.72,11 11,27/06/1966,27,,Ilhwa Chunma,South Korea,C
11,Seo Jung-Won,M,5'08,172.72,10 10,17/12/1970,23,Gwangju,Incheon Sangmu,South Korea,C
12,Choi Yong-Il,D,5'11,180.34,12 08,25/04/1966,28,,Ulsan Hyundai,South Korea,C
13,An Ik-Soo,D,5'10,177.8,12 08,06/05/1965,29,,Ilhwa Chunma,South Korea,C
14,Choi Dae-Shik,M,5'09,175.26,10 06,10/01/1971,23,,Lucky Goldstar,South Korea,C
15,Cho Jin-Ho,M,5'08,172.72,12 00,02/08/1973,20,,POSCO Atoms,South Korea,C
16,Ha Seok-Ju,F,5'09,175.26,11 05,20/02/1968,26,,Daewoo Royals,South Korea,C
17,Gu Sang-Bum,D,5'09,175.26,11 00,15/06/1964,30,Seoul,Daewoo Royals,South Korea,C
18,Hwang Sun-Hong,F,6'00,182.88,12 06,14/07/1968,25,,POSCO Atoms,South Korea,C
19,Choi Moon-Sik,M,5'07,170.18,09 06,06/01/1971,23,,POSCO Atoms,South Korea,C
20,Hong Myung-Bo,D,6'00,182.88,11 03,12/02/1969,25,Seoul,POSCO Atoms,South Korea,C
21,Park Chul-Woo,G,,,,29/09/1965,28,,Lucky Goldstar,South Korea,C
22,Lee Woon-Jae,G,6'00,182.88,12 13,26/04/1973,21,Cheongju,Kyunghee University,South Korea,C
1,Andoni Zubizarreta,G,6'02,187.96,13 08,23/10/1961,32,Vitoria-Gasteiz,Barcelona,Spain,C
2,Albert Ferrer,D,5'07,170.18,10 03,06/06/1970,24,Barcelona,Barcelona,Spain,C
3,Jorge Otero,M,5'09,175.26,11 00,28/01/1969,25,Pontevedra,Celta Vigo,Spain,C
4,Francisco Camarasa,D,6'00,182.88,11 11,27/09/1967,26,Rafelbunyol,Valencia,Spain,C
5,Abelardo,D,6'00,182.88,12 04,19/03/1970,24,Gij—n,Sporting Gij—n,Spain,C
6,Fernando Hierro,D,6'02,187.96,13 03,23/03/1968,26,V_lez-M‡laga,Real Madrid,Spain,C
7,Ion Andoni Goikoetxea,F,5'09,175.26,11 11,21/10/1965,28,Pamplona,Barcelona,Spain,C
8,Julen Guerrero,M,5'10,177.8,11 03,07/01/1974,20,Portugalete,Athletic Bilbao,Spain,C
9,Josep Guardiola,M,5'11,180.34,11 07,18/01/1971,23,Santpedor,Barcelona,Spain,C
10,Jos_ Mari Bakero,M,5'09,175.26,11 11,11/02/1963,31,Goizueta,Barcelona,Spain,C
11,Txiki Beguirist‡in,F,5'07,170.18,11 03,12/08/1964,29,Olaberria,Barcelona,Spain,C
12,Sergi,D,5'09,175.26,10 10,28/12/1971,22,Barcelona,Barcelona,Spain,C
13,Santiago Ca–izares,G,5'11,180.34,12 04,18/02/1969,25,Puertollano,Celta Vigo,Spain,C
14,Juanele,F,5'09,175.26,11 00,10/04/1971,23,Gij—n,Sporting Gij—n,Spain,C
15,Jos_ Luis Caminero,D,6'02,187.96,13 05,08/11/1967,26,Madrid,Atl_tico Madrid,Spain,C
16,Felipe Mi–ambres,F,5'07,170.18,10 06,29/04/1965,29,Le—n,Tenerife,Spain,C
17,Voro,D,6'00,182.88,12 08,09/10/1963,30,Valencia,Deportivo La Coru–a,Spain,C
18,Rafael Alkorta,D,5'10,177.8,11 09,16/09/1968,25,Bilbao,Real Madrid,Spain,C
