Number,Name,Nat,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Group
1,Diego Pozo,ARG,G,1.9,190,86,16/02/1978,32,Mendoza,Col—n (Santa Fe),B
2,Martin Demichelis,ARG,D,1.84,184,78,20/12/1980,29,Justiniano Posse,Bayern Munich,B
3,Clemente Rodr’guez,ARG,D,1.67,167,66,31/07/1981,28,Capital Federal,Estudiantes (LP),B
4,Nicol‡s Burdisso,ARG,D,1.82,182,81,12/04/1981,29,Altos de Chipi—n,Internazionale,B
5,Mario Bolatti,ARG,M,1.9,190,80,17/02/1985,25,La Para,Fiorentina,B
6,Gabriel Heinze,ARG,D,1.78,178,72,19/04/1978,32,Crespo,Marseille,B
7,çngel Di Maria,ARG,M,1.78,178,75,14/02/1988,22,Rosario,Benfica,B
8,Juan Sebasti‡n Ver—n,ARG,M,1.82,182,79,09/03/1975,35,La Plata,Estudiantes (LP),B
9,Gonzalo Higua’n,ARG,F,1.84,184,75,10/12/1987,22,Brest,Real Madrid,B
10,Lionel Messi,ARG,M,1.69,169,67,24/06/1987,22,Santa Fe,Barcelona,B
11,Carlos T_vez,ARG,F,1.71,171,75,05/02/1984,26,Ciudadela,Manchester C,B
12,Ariel Garc_,ARG,D,1.77,177,71,14/07/1979,30,Tandil,Col—n (Santa Fe),B
13,Walter Samuel,ARG,D,1.83,183,83,23/03/1978,32,Firmat,Internazionale,B
14,Javier Mascherano,ARG,M,1.78,178,77,08/06/1984,26,Rosario,Liverpool,B
15,Nicol‡s Otamendi,ARG,D,1.78,178,75,12/02/1988,22,Pacheco,V_lez Sarsfield,B
16,Sergio AgŸero,ARG,F,1.72,172,74,02/06/1988,22,Capital Federal,Atl_tico Madrid,B
17,Jon‡s Guti_rrez,ARG,M,1.82,182,70,05/07/1982,27,S‡enz Pe–a,Newcastle U,B
18,Mart’n Palermo,ARG,F,1.87,187,84,07/11/1973,36,La Plata,Boca Juniors,B
19,Diego Milito,ARG,F,1.83,183,78,12/06/1979,30,Bernal,Internazionale,B
20,Maxi Rodr’guez,ARG,M,1.8,180,79,02/01/1981,29,Rosario,Liverpool,B
21,Mariano Andœjar,ARG,G,1.94,194,87,30/07/1983,26,Capital Federal,CataniaÊ,B
22,Sergio Romero,ARG,G,1.92,192,87,22/02/1987,23,Bernardo de Irigoyen,AZ Alkmaar,B
23,Javier Pastore,ARG,M,1.87,187,75,20/06/1989,20,C—rdoba,Palermo,B
1,Konstantinos Chalkias,GRE,G,1.99,199,88,30/05/1974,36,Larisa,PAOK,B
2,Georgios Seitaridis,GRE,D,1.85,185,79,04/06/1981,29,Piraeus,Panathinaikos,B
3,Christos Patsatzoglou,GRE,D,1.82,182,73,19/03/1979,31,Athens,Omonia Nicosia,B
4,Nikos Spiropoulos,GRE,D,1.72,172,69,10/10/1983,26,Giannina,Panathinaikos,B
5,Vangelis Moras,GRE,D,1.93,193,78,26/08/1981,28,Larisa,Bologna,B
6,Alexandros Tziolis,GRE,M,1.89,189,84,13/02/1985,25,Katerini,Siena,B
7,Giorgos Samaras,GRE,F,1.93,193,82,21/02/1985,25,Heraklion,Celtic,B
8,Avraam Papadopoulos,GRE,D,1.86,186,79,03/12/1984,25,Sydney,Olympiakos,B
9,Aggelos Charisteas,GRE,F,1.9,190,82,09/02/1980,30,Serres,NŸrnberg,B
10,Giorgos Karagounis,GRE,M,1.76,176,74,06/03/1977,33,Pyrgos,Panathinaikos,B
11,Loukas Vyntra,GRE,D,1.84,184,76,05/02/1981,29,Alberhiche,Panathinaikos,B
12,Alexandros Tzorvas,GRE,G,1.88,188,80,12/08/1982,27,Athens,Panathinaikos,B
13,Michalis Sifakis,GRE,G,1.85,185,80,09/09/1984,25,Arta,Aris,B
14,Dimitris Salpigidis,GRE,F,1.72,172,74,18/08/1981,28,Thessaloniki,Panathinaikos,B
15,Vasilis Torosidis,GRE,D,1.85,185,80,10/06/1985,25,Xanthi,Olympiakos,B
16,Sotirios Kyrgiakos,GRE,D,1.92,192,85,23/07/1979,30,Trikala,Liverpool,B
17,Theofanis Gekas,GRE,F,1.79,179,82,23/05/1980,30,Larissa,Bayer Leverkusen,B
18,Sotiris Ninis,GRE,M,1.73,173,69,03/04/1990,20,Himara,Panathinaikos,B
19,Sokratis Papastathopoulos,GRE,D,1.83,183,82,09/06/1988,22,Kalamata,Genoa,B
20,Pantelis Kapetanos,GRE,F,1.9,190,82,08/06/1983,27,Ptolemaida,Steaua Bucure_ti,B
21,Kostas Katsouranis,GRE,M,1.83,183,84,21/06/1979,30,Patra,Panathinaikos,B
22,Stelios Malezas,GRE,D,1.92,192,81,11/03/1985,25,Katerini,PAOK,B
23,Thanassis Prittas,GRE,M,1.83,183,78,09/01/1979,31,Thessaloniki,Aris,B
1,Vincent Enyeama,NGA,G,1.8,180,80,29/08/1982,27,Aba,Hapoel Tel Aviv,B
2,Joseph Yobo,NGA,D,1.88,188,70,06/09/1980,29,Kano,Everton,B
3,Taye Taiwo,NGA,D,1.83,183,77,16/04/1985,25,Lagos,Marseille,B
4,Nwankwo Kanu,NGA,F,1.96,196,83,01/08/1976,33,Owerri,Portsmouth,B
5,Rabiu Afolabi,NGA,D,1.83,183,77,18/04/1980,30,Osobo,Red Bull Salzburg,B
6,Danny Shittu,NGA,D,1.91,191,95,02/09/1980,29,Lagos,Bolton W,B
7,John Utaka,NGA,F,1.79,179,82,08/01/1982,28,Legugnu,Portsmouth,B
8,Yakubu Aiyegbeni,NGA,F,1.83,183,83,22/11/1982,27,Benin City,Everton,B
9,Obafemi Martins,NGA,F,1.76,176,67,28/10/1984,25,Lagos,Wolfsburg,B
10,Brown Ideye,NGA,F,1.8,180,70,10/10/1988,21,Yenagoa,Sochaux,B
11,Peter Odemwingie,NGA,F,1.82,182,74,15/07/1981,28,Tashkent,Lokomotiv Moscow,B
12,Kalu Uche,NGA,F,1.79,179,71,15/11/1982,27,Aba,Almer’a,B
13,Ayila Yussuf,NGA,M,1.82,182,73,04/11/1984,25,Lagos,Dynamo Kiev,B
14,Sani Kaita,NGA,M,1.79,179,73,02/05/1986,24,Kano,Monaco,B
15,Lukman Haruna,NGA,M,1.85,185,77,04/12/1990,19,Lagos,Monaco,B
16,Austin Ejide,NGA,G,1.9,190,90,08/04/1984,26,Onitsha,Hapoel Petah Tikva,B
17,Chidi Odiah,NGA,D,1.8,180,79,17/12/1983,26,Port Harcourt,CSKA Moscow,B
18,Victor Obinna,NGA,F,1.78,178,78,25/03/1987,23,Jos,Internazionale,B
19,Chinedu Obasi Ogbuke,NGA,F,1.83,183,82,01/06/1986,24,Enugu,1899 Hoffenheim,B
20,Dickson Etuhu,NGA,M,1.88,188,83,08/06/1982,28,Kano,Fulham,B
21,Elderson Uwa Echiejile,NGA,D,1.84,184,76,20/01/1988,22,Cotonou,Rennes,B
22,Dele Adeleye,NGA,D,1.89,189,76,25/12/1988,21,Lagos,Sparta Rotterdam,B
23,Dele Aiyenugba,NGA,G,1.8,180,80,20/11/1983,26,Jos,Bnei Yehuda,B
1,Lee Woon-Jae,KOR,G,1.82,182,82,26/04/1973,37,Jeonju,Suwon Samsung Bluewings,B
2,Oh Beom-Seok,KOR,D,1.81,181,75,29/07/1984,25,Pohang,Ulsan Hyundai Horang-i,B
3,Kim Hyung-Il,KOR,D,1.87,187,83,27/04/1984,26,Incheon,Pohang Steelers,B
4,Cho Yong-Hyung,KOR,D,1.83,183,72,03/11/1983,26,Incheon,Jeju U,B
5,Kim Nam-Il,KOR,M,1.82,182,76,14/03/1977,33,Incheon,Tom Tomsk,B
6,Kim Bo-Kyung,KOR,M,1.78,178,73,06/10/1989,20,Gurye,Cerezo Osaka,B
7,Park Ji-Sung,KOR,M,1.75,175,70,25/02/1981,29,Suwon,Manchester U,B
8,Kim Jung-Woo,KOR,M,1.83,183,70,09/05/1982,28,Incheon,Gwangju Sangmu,B
9,Ahn Jung-Hwan,KOR,F,1.78,178,78,27/01/1976,34,Qungiadi,Dalian Shide,B
10,Park Chu-Young,KOR,F,1.82,182,75,10/07/1985,24,Daegu,Monaco,B
11,Lee Seung-Yeoul,KOR,F,1.82,182,72,06/03/1989,21,Bucheon,FC Seoul,B
12,Lee Young-Pyo,KOR,D,1.76,176,66,23/04/1977,33,Hongcheon,Al-Hilal,B
13,Kim Jae-Sung,KOR,M,1.8,180,70,03/10/1983,26,Goyang,Pohang Steelers,B
14,Lee Jung-Soo,KOR,D,1.85,185,76,08/01/1980,30,Gimhae,Kashima Antlers,B
15,Kim Dong-Jin,KOR,D,1.83,183,77,29/01/1982,28,Dongducheon,Ulsan Hyundai Horang-i,B
16,Ki Sung-Yueng,KOR,M,1.87,187,79,24/01/1989,21,Gwangju,Celtic,B
17,Lee Chung-Yong,KOR,M,1.8,180,69,02/07/1988,21,Seoul,Bolton W,B
18,Jung Sung-Ryong,KOR,G,1.9,190,88,14/01/1985,25,Jeju,Seongnam Ilhwa Chunma,B
19,Yeom Ki-Hun,KOR,F,1.81,181,76,30/03/1983,27,Haenam,Suwon Samsung Bluewings,B
20,Lee Dong-Gook,KOR,F,1.85,185,80,29/04/1979,31,Pohang,Jeonbuk Hyundai Motors,B
21,Kim Young-Kwang,KOR,G,1.84,184,85,28/06/1983,26,Goheung,Ulsan Hyundai Horang-i,B
22,Cha Du-Ri,KOR,D,1.81,181,81,25/07/1980,29,Frankfurt am Main,Freiburg,B
23,Kang Min-Soo,KOR,D,1.86,186,76,14/02/1986,24,Goyang,Suwon Samsung Bluewings,B
1,Lounès Gaouaoui,ALG,G,1.88,188,84,28/09/1977,32,Tizi Ouzou,ASO Chlef,C
2,Madjid Bougherra,ALG,D,1.88,188,89,07/10/1982,27,Longvic,Rangers,C
3,Nadir Belhadj,ALG,D,1.75,175,67,18/06/1982,27,Saint Claude,Portsmouth,C
4,Anther Yahia,ALG,D,1.85,185,79,21/03/1982,28,Mulhouse,Bochum,C
5,Rafik Halliche,ALG,D,1.87,187,77,02/09/1986,23,Algiers,Benfica,C
6,Yazid Mansouri,ALG,M,1.75,175,69,25/02/1978,32,Revin,Lorient,C
7,Ryad Boudebouz,ALG,M,1.72,172,59,19/02/1990,20,Colmar,Sochaux,C
8,Mehdi Lacen,ALG,M,1.76,176,74,15/03/1984,26,Versailles,Racing Santander,C
9,Abdelkader Ghezzal,ALG,F,1.83,183,78,05/12/1984,25,Decines Charpieu,Siena,C
10,Rafik Sa•fi,ALG,F,1.78,178,72,07/02/1975,35,Algiers,Al-Khor,C
11,Rafik Djebbour,ALG,F,1.85,185,77,08/03/1984,26,Grenoble,AEK,C
12,Habib Bellaid,ALG,D,1.89,189,83,28/03/1986,24,Bobigny,Eintracht Frankfurt,C
13,Karim Matmour,ALG,F,1.8,180,67,25/06/1985,24,Strasbourg,B M_nchengladbach,C
14,Abdelkader La•faoui,ALG,D,1.78,178,69,09/07/1981,28,Hussein Dey,ES S_tif,C
15,Karim Ziani,ALG,M,1.69,169,66,17/08/1982,27,Sèvres,Wolfsburg,C
16,Faouzi Chaouchi,ALG,G,1.92,192,82,05/12/1984,25,Bordj Mena•el,ES S_tif,C
17,Adlène Gu_dioura,ALG,M,1.85,185,80,12/11/1985,24,La Roche-sur-Yon,Wolverhampton W,C
18,Carl Medjani,ALG,D,1.84,184,84,15/05/1985,25,Lyon,Ajaccio,C
19,Hassan Yebda,ALG,M,1.87,187,77,14/05/1984,26,Saint-Maurice,Benfica,C
20,Djamel Mesbah,ALG,M,1.79,179,72,09/10/1984,25,Annecy,Lecce,C
21,Foued Kadir,ALG,M,1.79,179,68,05/12/1983,26,Martigues,Valenciennes,C
22,Djamel Abdoun,ALG,M,1.8,180,65,14/02/1986,24,Montreuil-sous-Bois,Nantes,C
23,Ra•sÊM'Bolhi,ALG,G,1.88,188,80,25/04/1986,24,Paris,Slavia Sofia,C
1,David James,ENG,G,1.94,194,94,01/08/1970,39,Welwyn Garden City,Portsmouth,C
2,Glen Johnson,ENG,D,1.82,182,70,23/08/1984,25,Greenwich,Liverpool,C
3,Ashley Cole,ENG,D,1.72,172,67,20/12/1980,29,Stepney,Chelsea,C
4,Steven Gerrard,ENG,M,1.83,183,79,30/05/1980,30,Whiston,Liverpool,C
5,Michael Dawson,ENG,D,1.88,188,76,18/11/1983,26,Northallerton,Tottenham H,C
6,John Terry,ENG,D,1.86,186,91,07/12/1980,29,Barking,Chelsea,C
7,Aaron Lennon,ENG,M,1.65,165,63,16/04/1987,23,Chapeltown,Tottenham H,C
8,Frank Lampard,ENG,M,1.83,183,90,20/06/1978,31,Romford,Chelsea,C
9,Peter Crouch,ENG,F,2.01,201,80,30/01/1981,29,Macclesfield,Tottenham H,C
10,Wayne Rooney,ENG,F,1.78,178,78,24/10/1985,24,Croxteth,Manchester U,C
11,Joe Cole,ENG,M,1.76,176,73,08/11/1981,28,Paddington,Chelsea,C
12,Robert Green,ENG,G,1.91,191,93,18/01/1980,30,Chertsey,West Ham U,C
13,Stephen Warnock,ENG,D,1.78,178,75,12/12/1981,28,Ormskirk,Aston Villa,C
14,Gareth Barry,ENG,M,1.83,183,79,23/02/1981,29,Hastings,Manchester C,C
15,Matthew Upson,ENG,D,1.85,185,72,18/04/1979,31,Hartismere,West Ham U,C
16,James Milner,ENG,M,1.7,170,67,04/01/1986,24,Wortley,Aston Villa,C
17,Shaun Wright-Phillips,ENG,M,1.66,166,64,25/10/1981,28,Greenwich,Manchester C,C
18,Jamie Carragher,ENG,D,1.85,185,83,28/01/1978,32,Bootle,Liverpool,C
19,Jermain Defoe,ENG,F,1.69,169,65,07/10/1982,27,Beckton,Tottenham H,C
20,Ledley King,ENG,D,1.88,188,86,12/10/1980,29,Bow,Tottenham H,C
21,Emile Heskey,ENG,F,1.88,188,88,11/01/1978,32,Leicester,Aston Villa,C
22,Michael Carrick,ENG,M,1.86,186,74,28/07/1981,28,Wallsend,Manchester U,C
23,Joe Hart,ENG,G,1.91,191,80,19/04/1987,23,Shrewsbury,Manchester C,C
1,Jasmin Handanovi_,SVN,G,1.96,196,98,28/01/1978,32,Ljubljana,Mantova,C
2,Mi_o Bre_ko,SVN,D,1.78,178,68,01/05/1984,26,Trbovlje,K_ln,C
3,Elvedin D_ini_,SVN,D,1.85,185,80,25/08/1985,24,Zavidovi_i,Maribor,C
4,Marko _uler,SVN,D,1.86,186,79,09/03/1983,27,Slovenj Gradec,KAA Gent,C
5,Bo_tjan Cesar,SVN,D,1.91,191,87,09/07/1982,27,LjubljanaÊ,Grenoble,C
6,Branko Ili_,SVN,D,1.88,188,80,06/02/1983,27,Ljubljana,Lokomotiv Moscow,C
7,Nejc Pe_nik,SVN,M,1.89,189,80,03/01/1986,24,Dravograd,Nacional [POR],C
8,Robert Koren,SVN,M,1.75,175,71,20/09/1980,29,Ljubljana,WBA,C
9,Zlatan Ljubijanki_,SVN,F,1.82,182,84,15/12/1983,26,Ljubljana,KAA Gent,C
10,Valter Birsa,SVN,F,1.84,184,79,07/08/1986,23,Sempeter pri Gorici,Auxerre,C
11,Milivoje Novakovi_,SVN,F,1.92,192,85,18/05/1979,31,Ljubljana,K_ln,C
12,Samir Handanovi_,SVN,G,1.93,193,82,14/07/1984,25,Ljubljana,Udinese,C
13,Bojan Joki_,SVN,D,1.76,176,75,17/05/1986,24,Kranj,Sochaux,C
14,Zlatko Dedi_,SVN,F,1.82,182,77,05/10/1984,25,Biha_,Bochum,C
15,Rene Krhin,SVN,M,1.89,189,78,21/05/1990,20,Maribor,Internazionale,C
16,Aleksander _eliga,SVN,G,1.87,187,80,01/02/1980,30,Celje,Sparta Rotterdam,C
17,Andra_ Kirm,SVN,M,1.83,183,73,06/09/1984,25,Ljubljana,Wis_a Krak—w,C
18,Aleksandar Radosavljevi_,SVN,M,1.82,182,77,25/04/1979,31,Kranj,Larissa,C
19,Suad Filekovi_,SVN,D,1.9,190,86,16/09/1978,31,Ljubljana,Maribor,C
20,Andrej Komac,SVN,M,1.76,176,72,04/12/1979,30,Nova Gorica,Maccabi Tel-Aviv,C
21,Dalibor Stevanovi_,SVN,M,1.83,183,75,27/09/1984,25,Ljubljana,Vitesse,C
22,Matej Mavri_,SVN,D,1.87,187,85,29/01/1979,31,Koper,Koblenz,C
23,Tim Matav_,SVN,F,1.88,188,74,13/01/1989,21,_empeter pri Gorici,FC Groningen,C
1,Tim Howard,USA,G,1.91,191,95,06/03/1979,31,North Brunswick,Everton,C
2,Jonathan Spector,USA,D,1.82,182,79,01/03/1986,24,Arlington Heights,West Ham U,C
3,Carlos Bocanegra,USA,D,1.83,183,78,25/05/1979,31,Alta Loma,Rennes,C
4,Michael Bradley,USA,M,1.85,185,82,31/07/1987,22,Palatine,B M_nchengladbach,C
5,Oguchi Onyewu,USA,D,1.92,192,91,13/05/1982,28,WashingtonÊ,Milan,C
6,Steve Cherundolo,USA,D,1.68,168,66,19/02/1979,31,Rockford,Hannover 96,C
7,DaMarcus Beasley,USA,M,1.73,173,66,24/05/1982,28,Fort Wayne,Rangers,C
8,Clint Dempsey,USA,M,1.86,186,84,09/03/1983,27,Nacogdoches,Fulham,C
9,H_rculez G—mez,USA,F,1.78,178,75,06/04/1982,28,Las Vegas,Puebla,C
10,Landon Donovan,USA,F,1.73,173,72,04/03/1982,28,Ontario,LA Galaxy,C
11,Stuart Holden,USA,M,1.78,178,73,01/08/1985,24,Aberdeen,Bolton W,C
12,Jonathan Bornstein,USA,D,1.75,175,66,07/11/1984,25,Torrance,Chivas USA,C
13,Ricardo Clark,USA,M,1.78,178,68,10/02/1983,27,Atlanta,Eintracht Frankfurt,C
14,Edson Buddle,USA,F,1.85,185,77,21/05/1981,29,New Rochelle,LA Galaxy,C
15,Jay DeMerit,USA,D,1.8,180,82,04/12/1979,30,Green Bay,Watford,C
16,Jos_ Torres,USA,M,1.65,165,61,29/10/1987,22,Longview,Pachuca,C
17,Jozy Altidore,USA,F,1.82,182,78,06/11/1989,20,Boca Raton,Villarreal,C
18,Brad Guzan,USA,G,1.93,193,94,09/09/1984,25,Home Glen,Aston Villa,C
19,Maurice Edu,USA,M,1.83,183,77,18/04/1986,24,San Bernardino,Rangers,C
20,Robbie Findley,USA,F,1.75,175,75,04/08/1985,24,Phoenix,Real Salt Lake,C
21,Clarence Goodson,USA,D,1.93,193,77,17/05/1982,28,Alexandria,Start,C
22,Benny Feilhaber,USA,M,1.75,175,68,19/01/1985,25,Rio de Janeiro,Aarhus,C
23,MarcusÊHahnemann,USA,G,1.91,191,99,15/06/1972,37,Seattle,Wolverhampton W,C
1,Mark Schwarzer,AUS,G,1.94,194,85,06/10/1972,37,Sydney,Fulham,D
